time,target,master_offset,freq,path_delay
1736661079,0.50008225440979,-190674,-166191,932162
1736661080,0.5000660419464111,-91455,-124174,989668
1736661082,0.5002198219299316,-747564,-564011,1206280
1736661083,0.5001335144042969,-190713,-231429,1206280
1736661084,0.500056266784668,1843,-96087,1071055
1736661086,0.5001358985900879,-389916,-339114,1240044
1736661087,0.500096321105957,-107032,-173205,1315913
1736661088,0.500053882598877,1308,-96974,1315913
1736661090,0.5000033378601074,-51823,-34111,1315913
1736661091,0.5000598430633545,-126938,-124773,1315913
1736661095,0.5001170635223389,-361413,-265744,1146070
1736661096,0.500070333480835,-110545,-123300,1146070
1736661098,0.5000083446502686,16090,-15155,1146070
1736661101,0.5000996589660645,-367914,-258737,1195143
1736661102,0.5000829696655273,-150950,-152147,1195719
1736661104,0.5000576972961426,-111480,-129107,1262477
1736661108,0.5004379749298096,-1251208,-1043527,1175424
1736661109,0.5001041889190674,54081,-113600,1175424
1736661111,0.5004448890686035,-1305911,-1095734,1171684
1736661112,0.5001091957092285,60824,-120772,1043553
1736661115,0.5000529289245605,-56541,-114862,1171684
1736661118,0.500321626663208,-1027974,-809732,1351045
1736661119,0.5001871585845947,-232715,-322866,1351045
1736661124,0.5003235340118408,-1024498,-794162,1205481
1736661125,0.5000917911529541,-36737,-113750,1034832
1736661128,0.5000579357147217,-132924,-137350,1076075
1736661130,0.5000391006469727,-207771,-123929,940618
1736661131,0.5000240802764893,-58089,-36579,878612
1736661133,0.5000369548797607,-165372,-100196,843316
1736661135,0.499995470046997,-60453,-2992,843316
1736661136,0.5001721382141113,-416714,-377389,1064202
1736661137,0.5000581741333008,1584,-84105,1064202
1736661140,0.5001382827758789,-359208,-326324,1224053
1736661142,0.5002033710479736,-436990,-457788,1540076
1736661143,0.5000705718994141,49301,-102594,1540076
1736661148,0.5000209808349609,-42669,-46010,1484272
1736661149,0.500051736831665,-89692,-105834,1484272
1736661152,0.5000369548797607,-159669,-100002,1357266
1736661156,0.5000267028808594,-184084,-61635,1145341
1736661157,0.5000574588775635,-184170,-116947,1145341
1736661159,0.5000243186950684,-176969,-80820,965081
1736661160,0.5000083446502686,-49482,-6423,965081
1736661161,0.5000112056732178,-48584,-20370,1081870
1736661162,0.500035285949707,-85725,-72086,1081870
1736661163,0.5000452995300293,-76955,-89034,1101231
1736661164,0.5000123977661133,21306,-13859,1101231
1736661167,0.5000395774841309,-121598,-99133,1060295
1736661168,0.5000853538513184,-160298,-174312,1060295
1736661172,0.5000364780426025,-191348,-102011,944800
1736661176,0.5000369548797607,-178854,-88520,940891
1736661177,0.5000083446502686,-41299,-4621,904437
1736661180,0.5001018047332764,-274378,-230823,940891
1736661181,0.5000400543212891,-21633,-60392,940891
